method,case,zero_count,shots,probability,wilson95_low,wilson95_high,program_sha256
Qristal QPP · CPU,bell,8161,16384,0.49810791015625,0.49045319654676195,0.5057635108118128,2fb143875ed170f0535a9227c3f6bece9ac82278de05a5a9513aec75dc9ada33
Aer MPS · CPU,bell,8160,16384,0.498046875,0.49039217929014467,0.5057024863703196,2fb143875ed170f0535a9227c3f6bece9ac82278de05a5a9513aec75dc9ada33
Aer density matrix · CPU,bell,8161,16384,0.49810791015625,0.49045319654676195,0.5057635108118128,2fb143875ed170f0535a9227c3f6bece9ac82278de05a5a9513aec75dc9ada33
CUDA-Q nvidia · A10G,bell,8148,16384,0.497314453125,0.4896599811064873,0.504970184176651,2fb143875ed170f0535a9227c3f6bece9ac82278de05a5a9513aec75dc9ada33
CUDA-Q tensornet · A10G,bell,8228,16384,0.502197265625,0.4945416125361293,0.5098518885958485,2fb143875ed170f0535a9227c3f6bece9ac82278de05a5a9513aec75dc9ada33
Qristal QPP · CPU,ghz8,8161,16384,0.49810791015625,0.49045319654676195,0.5057635108118128,0725554292a97cb1de08b28784bd5bf3001d15edf9e34d334bed3fef34652328
Aer MPS · CPU,ghz8,8206,16384,0.5008544921875,0.4931990911319212,0.5085094926416257,0725554292a97cb1de08b28784bd5bf3001d15edf9e34d334bed3fef34652328
Aer density matrix · CPU,ghz8,8161,16384,0.49810791015625,0.49045319654676195,0.5057635108118128,0725554292a97cb1de08b28784bd5bf3001d15edf9e34d334bed3fef34652328
CUDA-Q nvidia · A10G,ghz8,8148,16384,0.497314453125,0.4896599811064873,0.504970184176651,0725554292a97cb1de08b28784bd5bf3001d15edf9e34d334bed3fef34652328
CUDA-Q tensornet · A10G,ghz8,8228,16384,0.502197265625,0.4945416125361293,0.5098518885958485,0725554292a97cb1de08b28784bd5bf3001d15edf9e34d334bed3fef34652328
