seed,p10,p01,shots,00,01,10,11,agreement,imbalance,expected_agreement,expected_imbalance
7,0,0,16384,8216,0,0,8168,1.0,-0.0029296875,1.0,0.0
7,0,0.05,16384,8216,400,0,7768,0.9755859375,-0.02734375,0.975,-0.025
7,0,0.1,16384,8216,790,0,7378,0.9517822265625,-0.0511474609375,0.95,-0.05
7,0,0.2,16384,8216,1588,0,6580,0.903076171875,-0.099853515625,0.9,-0.1
7,0,0.4,16384,8216,3272,0,4896,0.80029296875,-0.20263671875,0.8,-0.2
7,0.05,0,16384,7801,0,415,8168,0.97467041015625,0.02239990234375,0.975,0.025
7,0.05,0.05,16384,7801,400,415,7768,0.95025634765625,-0.00201416015625,0.95,0.0
7,0.05,0.1,16384,7801,790,415,7378,0.92645263671875,-0.02581787109375,0.925,-0.025
7,0.05,0.2,16384,7801,1588,415,6580,0.87774658203125,-0.07452392578125,0.875,-0.07500000000000001
7,0.05,0.4,16384,7801,3272,415,4896,0.77496337890625,-0.17730712890625,0.775,-0.17500000000000002
7,0.1,0,16384,7354,0,862,8168,0.9473876953125,0.0496826171875,0.95,0.05
7,0.1,0.05,16384,7354,400,862,7768,0.9229736328125,0.0252685546875,0.925,0.025
7,0.1,0.1,16384,7354,790,862,7378,0.899169921875,0.00146484375,0.9,0.0
7,0.1,0.2,16384,7354,1588,862,6580,0.8504638671875,-0.0472412109375,0.85,-0.05
7,0.1,0.4,16384,7354,3272,862,4896,0.7476806640625,-0.1500244140625,0.75,-0.15000000000000002
7,0.2,0,16384,6528,0,1688,8168,0.89697265625,0.10009765625,0.9,0.1
7,0.2,0.05,16384,6528,400,1688,7768,0.87255859375,0.07568359375,0.875,0.07500000000000001
7,0.2,0.1,16384,6528,790,1688,7378,0.8487548828125,0.0518798828125,0.85,0.05
7,0.2,0.2,16384,6528,1588,1688,6580,0.800048828125,0.003173828125,0.8,0.0
7,0.2,0.4,16384,6528,3272,1688,4896,0.697265625,-0.099609375,0.7,-0.1
7,0.4,0,16384,4888,0,3328,8168,0.796875,0.2001953125,0.8,0.2
7,0.4,0.05,16384,4888,400,3328,7768,0.7724609375,0.17578125,0.775,0.17500000000000002
7,0.4,0.1,16384,4888,790,3328,7378,0.7486572265625,0.1519775390625,0.75,0.15000000000000002
7,0.4,0.2,16384,4888,1588,3328,6580,0.699951171875,0.103271484375,0.7,0.1
7,0.4,0.4,16384,4888,3272,3328,4896,0.59716796875,0.00048828125,0.6,0.0
42,0,0,16384,8161,0,0,8223,1.0,0.0037841796875,1.0,0.0
42,0,0.05,16384,8161,411,0,7812,0.97491455078125,-0.02130126953125,0.975,-0.025
42,0,0.1,16384,8161,816,0,7407,0.9501953125,-0.0460205078125,0.95,-0.05
42,0,0.2,16384,8161,1682,0,6541,0.8973388671875,-0.098876953125,0.9,-0.1
42,0,0.4,16384,8161,3281,0,4942,0.79974365234375,-0.19647216796875,0.8,-0.2
42,0.05,0,16384,7759,0,402,8223,0.9754638671875,0.0283203125,0.975,0.025
42,0.05,0.05,16384,7759,411,402,7812,0.95037841796875,0.00323486328125,0.95,0.0
42,0.05,0.1,16384,7759,816,402,7407,0.9256591796875,-0.021484375,0.925,-0.025
42,0.05,0.2,16384,7759,1682,402,6541,0.872802734375,-0.0743408203125,0.875,-0.07500000000000001
42,0.05,0.4,16384,7759,3281,402,4942,0.77520751953125,-0.17193603515625,0.775,-0.17500000000000002
42,0.1,0,16384,7355,0,806,8223,0.9508056640625,0.052978515625,0.95,0.05
42,0.1,0.05,16384,7355,411,806,7812,0.92572021484375,0.02789306640625,0.925,0.025
42,0.1,0.1,16384,7355,816,806,7407,0.9010009765625,0.003173828125,0.9,0.0
42,0.1,0.2,16384,7355,1682,806,6541,0.84814453125,-0.0496826171875,0.85,-0.05
42,0.1,0.4,16384,7355,3281,806,4942,0.75054931640625,-0.14727783203125,0.75,-0.15000000000000002
42,0.2,0,16384,6562,0,1599,8223,0.90240478515625,0.10137939453125,0.9,0.1
42,0.2,0.05,16384,6562,411,1599,7812,0.8773193359375,0.0762939453125,0.875,0.07500000000000001
42,0.2,0.1,16384,6562,816,1599,7407,0.85260009765625,0.05157470703125,0.85,0.05
42,0.2,0.2,16384,6562,1682,1599,6541,0.79974365234375,-0.00128173828125,0.8,0.0
42,0.2,0.4,16384,6562,3281,1599,4942,0.7021484375,-0.098876953125,0.7,-0.1
42,0.4,0,16384,4965,0,3196,8223,0.804931640625,0.1988525390625,0.8,0.2
42,0.4,0.05,16384,4965,411,3196,7812,0.77984619140625,0.17376708984375,0.775,0.17500000000000002
42,0.4,0.1,16384,4965,816,3196,7407,0.755126953125,0.1490478515625,0.75,0.15000000000000002
42,0.4,0.2,16384,4965,1682,3196,6541,0.7022705078125,0.09619140625,0.7,0.1
42,0.4,0.4,16384,4965,3281,3196,4942,0.60467529296875,-0.00140380859375,0.6,0.0
