adduser	3.118ubuntu5
apt	2.4.14
autoconf	2.71-2
automake	1:1.16.5-1.3
autotools-dev	20220109.1
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
binutils	2.38-4ubuntu2.12
binutils-common:amd64	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bsdutils	1:2.37.2-4ubuntu3.5
build-essential	12.9ubuntu3
bzip2	1.0.8-5ubuntu0.1
ca-certificates	20260601~22.04.1
cmake	3.22.1-1ubuntu1.22.04.2
cmake-data	3.22.1-1ubuntu1.22.04.2
coreutils	8.32-4.1ubuntu1.3
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04.3
curl	7.81.0-1ubuntu1.27
dash	0.5.11+git20210903+057cd650a4ed-3build1
debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
dh-elpa-helper	2.0.9ubuntu1
diffutils	1:3.8-0ubuntu2
dpkg	1.21.1ubuntu2.6
dpkg-dev	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
emacsen-common	3.0.4
findutils	4.8.0-1ubuntu3
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04.3
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04.3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gfortran	4:11.2.0-1ubuntu1
gfortran-11	11.4.0-1ubuntu1~22.04.3
git	1:2.34.1-1ubuntu1.17
git-man	1:2.34.1-1ubuntu1.17
gpgv	2.2.27-3ubuntu2.5
grep	3.7-1build1
gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2
ibverbs-providers:amd64	39.0-1
icu-devtools	70.1-2
init-system-helpers	1.62
libacl1:amd64	2.3.1-1
libapt-pkg6.0:amd64	2.4.14
libarchive13:amd64	3.6.0-1ubuntu1.8
libasan6:amd64	11.4.0-1ubuntu1~22.04.3
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libbinutils:amd64	2.38-4ubuntu2.12
libblkid1:amd64	2.37.2-4ubuntu3.5
